trial_id,preprocess_mode,hidden_sizes,activation,dropout,optimizer,learning_rate,lr_decay,weight_decay,best_val_acc,best_epoch,param_count
7,baseline,[128],tanh,0.0,adam,0.001,0.95,0.0001,0.8951666666666667,28,101770
19,flip,[256],tanh,0.0,adam,0.001,0.95,0.0005,0.8838333333333334,30,203530
1,baseline,[256],tanh,0.2,adam,0.001,0.95,0.0005,0.8801666666666667,26,203530
6,mask,[256],tanh,0.2,adam,0.001,0.95,0.0001,0.8771666666666667,28,203530
13,flip_mask,[256],relu,0.2,adam,0.001,0.95,0.0001,0.877,14,203530
11,mask,[128],relu,0.2,adam,0.001,0.85,0.0001,0.8761666666666666,25,101770
9,flip,[256],tanh,0.2,adam,0.01,0.85,0.0005,0.8723333333333333,30,203530
2,flip,[128],tanh,0.0,adam,0.01,0.95,0.0001,0.8718333333333333,25,101770
15,mask,[128],relu,0.2,sgd,0.01,0.95,0.0005,0.8675,27,101770
16,flip,[128],tanh,0.2,adam,0.01,0.85,0.0005,0.8675,30,101770
17,flip,[256],sigmoid,0.0,adam,0.001,0.85,0.0001,0.8673333333333333,21,203530
12,flip,[256],relu,0.2,adam,0.01,0.95,0.0005,0.8665,27,203530
4,flip,[128],sigmoid,0.2,adam,0.001,0.95,0.0005,0.8585,29,101770
10,mask,[128],relu,0.2,sgd,0.01,0.85,0.0005,0.8581666666666666,21,101770
8,flip,[256],tanh,0.0,sgd,0.01,0.85,0.0005,0.8578333333333333,25,203530
18,mask,[128],tanh,0.0,sgd,0.01,0.85,0.0005,0.857,26,101770
20,baseline,[512],tanh,0.0,sgd,0.001,0.95,0.0001,0.8493333333333334,28,407050
3,mask,[512],sigmoid,0.0,sgd,0.01,0.95,0.0001,0.8403333333333334,30,407050
14,flip,[512],tanh,0.0,sgd,0.001,0.85,0.0001,0.8121666666666667,27,407050
5,flip_mask,[512],sigmoid,0.2,sgd,0.01,0.85,0.0001,0.8025,22,407050
